PulseResult

Table 1
Table No [#]	Px [uC/cm2]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	Rav [Ohm]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Write Pulse Time [s]	Write Pulse Rise Time [s]	Write Pulse Amplitude [V]	Pund Frequency [Hz]	Pund Amplitude [V]	Write Pulse Delay [s]	Pulse Points []	Read Pulse Delay [s]	Number of pulses []	Current Range []	
1.000000e+000	-4.043060e+001	2.539800e+002	-1.575320e+002	-1.257880e+001	-1.289630e+001	3.220580e+002	3.217410e+002	3.175000e-001	0.000000e+000	4.099500e+005	0.000000e+000	9.985790e+000	-9.993030e+000	3.091620e+002	-3.091620e+002	6.629660e-005	-5.807040e-005	1.000000e-004	5.000000e-005	1.000000e+001	5.000000e+003	1.000000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	6.000000e+000	
2.000000e+000	-3.252950e+002	8.467320e+002	-6.586950e+002	-2.938410e+002	-2.951490e+002	1.129610e+003	1.128300e+003	1.308000e+000	0.000000e+000	2.318130e+005	1.000000e+000	1.499880e+001	-1.498720e+001	8.344590e+002	-8.344590e+002	1.108110e-004	-9.646580e-005	1.000000e-004	5.000000e-005	1.500000e+001	5.000000e+003	1.500000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	6.000000e+000	
3.000000e+000	-2.027630e+002	1.032790e+003	-4.987090e+002	-1.374910e+002	-1.423550e+002	8.475380e+002	8.426740e+002	4.864000e+000	0.000000e+000	2.536410e+005	0.000000e+000	1.497470e+001	-1.499040e+001	7.051830e+002	-7.051830e+002	1.912360e-004	-9.887900e-005	1.000000e-004	5.000000e-005	1.500000e+001	5.000000e+003	1.500000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	
4.000000e+000	6.070550e+001	1.178430e+003	-6.485450e+002	1.141580e+000	-9.428600e+001	9.069550e+002	8.115270e+002	9.542760e+001	1.241550e+003	1.816560e+005	0.000000e+000	1.497580e+001	-1.499040e+001	8.126690e+002	-8.126690e+002	1.809790e-004	-1.293500e-004	1.000000e-004	5.000000e-005	1.500000e+001	5.000000e+003	1.500000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	
5.000000e+000	-6.670350e+001	9.671720e+002	-4.615120e+002	-7.700400e+001	-7.708570e+001	7.760340e+002	7.759520e+002	8.170000e-002	3.120290e+002	2.447900e+005	0.000000e+000	1.497790e+001	-1.499250e+001	6.989480e+002	-6.989480e+002	1.595040e-004	-1.008140e-004	1.000000e-004	5.000000e-005	1.500000e+001	5.000000e+003	1.500000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	
6.000000e+000	-5.168120e+002	1.867620e+003	-1.639890e+003	-5.090930e+002	-6.062640e+002	2.201000e+003	2.103830e+003	9.717100e+001	1.063260e+003	1.204660e+005	0.000000e+000	1.798590e+001	-1.798790e+001	1.594740e+003	-1.594740e+003	3.580150e-004	-1.859510e-004	1.000000e-004	5.000000e-005	1.800000e+001	5.000000e+003	1.800000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	
7.000000e+000	1.557020e+001	2.265250e+003	-1.745000e+003	-2.321470e+002	-6.118910e+002	2.274420e+003	1.894680e+003	3.797440e+002	3.683800e+002	1.073740e+005	0.000000e+000	1.797230e+001	-1.798790e+001	1.662530e+003	-1.662530e+003	3.509370e-004	-2.216740e-004	1.000000e-004	5.000000e-005	1.800000e+001	5.000000e+003	1.800000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	
8.000000e+000	8.040800e+003	1.178700e+004	-1.167860e+004	7.104000e+003	3.770790e+003	2.264470e+003	1.068740e+003	3.333210e+003	2.097860e+005	2.866210e+004	1.000000e+000	2.001610e+001	-2.003480e+001	6.035260e+003	-6.035260e+003	1.109170e-003	-1.109870e-003	1.000000e-004	5.000000e-005	2.000000e+001	5.000000e+003	2.000000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	
9.000000e+000	2.519170e+003	2.579610e+004	-2.152020e+004	2.344890e+003	2.328810e+003	9.549890e+003	9.533810e+003	1.608000e+001	2.325940e+002	1.511820e+005	1.000000e+000	1.792300e+001	-1.804660e+001	1.187870e+004	-1.187870e+004	1.109150e-003	-1.109880e-003	1.000000e-004	5.000000e-005	1.800000e+001	5.000000e+003	1.800000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	
1.000000e+001	2.146580e+003	2.146800e+003	-2.149010e+003	-2.146240e+003	-2.144080e+003	4.292910e+003	4.295070e+003	2.160000e+000	0.000000e+000	4.360030e+008	1.000000e+000	1.797440e+001	-1.798580e+001	2.148830e+003	-2.148830e+003	1.109130e-003	-8.038410e-005	1.000000e-004	5.000000e-005	1.800000e+001	5.000000e+003	1.800000e+001	1.000000e+000	9.000000e+001	1.000000e+000	5.000000e+000	5.000000e+000	

Pulse
Program: aixPlorer Software version 3.0.56.0
TimeStamp: 07/10/2025 17:34:35
TfaModule: PM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU903-1
TfaVersion: 4.4.0

Table 1
Timestamp: 07/10/2025 17:34:35
TableVersion: 4.4.0
Number of pulses: 5
Pulse Sequence: 0XUNDP-
Pulse Points: 90
Monitoring: YES
SampleName: WMO_1-2-2_10IDE_D1
Area [mm2]: 0.00069
Thickness [nm]: 10000
Number Of Ceramic Layers: 1
Current Range: 6 (100uA)
Voltage Monitor Range: passive monitor
Pund Frequency [Hz]: 5000
Pund Amplitude [V]: 10
Write Pulse Time [s]: 0.0001
Write Pulse Rise Time [s]: 5e-005
Write Pulse Amplitude [V]: 10
Waveform: 1
Read Pulse Delay [s]: 1
Write Pulse Delay [s]: 1
Settings: OM MON
Warning: Current Range: Selected range allows reasonable values for Frequency lower than 3.78 kHz.; Pulsewidth/Risetime: Reasonable absolute values are between 66 us and 100 s.
Pvmax+ [uC/cm2]: 309.162
Pvmax- [uC/cm2]: -309.162
Pr+ [uC/cm2]: 253.98
Pr- [uC/cm2]: -157.532
Prrel+ [uC/cm2]: -12.5788
Prrel- [uC/cm2]: -12.8963
Px [uC/cm2]: -40.4306
Pnsw [uC/cm2]: 321.741
Psw [uC/cm2]: 322.058
dPsw [uC/cm2]: 0.3175
Rav [Ohm]: 409950
Wloss [uJ/cm2]: 0
Vmax+ [V]: 9.98579
Vmax- [V]: -9.99303
Ipk+ [A]: 6.62966e-005
Ipk- [A]: -5.80704e-005
Basic System: TFAnalyzer 2000 E
Measure Head: FE 830-2
MeasureHal Profile: default
Program Version: 3.0.56.0
Operator: Unknown
HV Amplifier: FE-Head (Monitored)
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	
0.000000e+000	3.716146e-003	-4.847649e-008	-4.043064e+001	1.010000e+000	1.619952e-003	-2.482165e-008	-1.257878e+001	2.021000e+000	-1.724579e-002	-4.546076e-009	-1.257878e+001	3.019000e+000	-1.934199e-002	-1.468386e-008	-1.289626e+001	4.010000e+000	3.716146e-003	-4.546076e-009	4.948088e+000	
2.220000e-006	2.825099e-001	1.211989e-006	-4.024346e+001	1.010002e+000	2.835580e-001	1.141024e-006	-1.239922e+001	2.021002e+000	-2.939434e-001	-1.413699e-006	-1.280693e+001	3.019002e+000	-2.970877e-001	-1.447491e-006	-1.313148e+001	4.010002e+000	2.825099e-001	1.144403e-006	5.131456e+000	
4.440000e-006	7.174702e-001	1.032586e-005	-3.838737e+001	1.010004e+000	7.164221e-001	1.023800e-005	-1.056868e+001	2.021004e+000	-7.257593e-001	-1.023357e-005	-1.468063e+001	3.019004e+000	-7.268074e-001	-1.023020e-005	-1.501006e+001	4.010004e+000	7.153740e-001	1.025152e-005	6.964713e+000	
6.660000e-006	1.160815e+000	1.858478e-005	-3.373653e+001	1.010007e+000	1.160815e+000	1.856788e-005	-5.934691e+000	2.021007e+000	-1.169104e+000	-1.847222e-005	-1.929851e+001	3.019007e+000	-1.167008e+000	-1.850263e-005	-1.963230e+001	4.010007e+000	1.159767e+000	1.858140e-005	1.160305e+001	
8.880000e-006	1.603112e+000	2.261286e-005	-2.710909e+001	1.010009e+000	1.602064e+000	2.265341e-005	6.965606e-001	2.021009e+000	-1.612449e+000	-2.263547e-005	-2.591149e+001	3.019009e+000	-1.612449e+000	-2.264561e-005	-2.625180e+001	4.010009e+000	1.602064e+000	2.263314e-005	1.823322e+001	
1.110000e-005	2.043313e+000	2.430587e-005	-1.956129e+001	1.010011e+000	2.045409e+000	2.431601e-005	8.252511e+000	2.021011e+000	-2.053698e+000	-2.434200e-005	-3.346873e+001	3.019011e+000	-2.053698e+000	-2.431496e-005	-3.380632e+001	4.010011e+000	2.045409e+000	2.430587e-005	2.578427e+001	
1.332000e-005	2.427964e+000	2.492428e-005	-1.164166e+001	1.010013e+000	2.487706e+000	2.493779e-005	1.617595e+001	2.021013e+000	-2.493899e+000	-2.493337e-005	-4.139564e+001	3.019013e+000	-2.497043e+000	-2.495364e-005	-4.173214e+001	4.010013e+000	2.486658e+000	2.494455e-005	3.370717e+001	
1.554000e-005	2.933147e+000	2.504255e-005	-3.603517e+000	1.010016e+000	2.930003e+000	2.522165e-005	2.424508e+001	2.021016e+000	-2.943533e+000	-2.520709e-005	-4.946171e+001	3.019016e+000	-2.943533e+000	-2.520709e-005	-4.980148e+001	4.010016e+000	2.928955e+000	2.522841e-005	4.177847e+001	
1.776000e-005	3.373348e+000	2.545820e-005	4.520517e+000	1.010018e+000	3.373348e+000	2.533655e-005	3.237835e+001	2.021018e+000	-3.385829e+000	-2.551460e-005	-5.762129e+001	3.019018e+000	-3.383733e+000	-2.550446e-005	-5.795942e+001	4.010018e+000	3.372300e+000	2.531627e-005	4.990957e+001	
1.998000e-005	3.814597e+000	2.550551e-005	1.271903e+001	1.010020e+000	3.813549e+000	2.545482e-005	4.054914e+001	2.021020e+000	-3.824982e+000	-2.539295e-005	-6.581077e+001	3.019020e+000	-3.826030e+000	-2.539633e-005	-6.614781e+001	4.010020e+000	3.813549e+000	2.547510e-005	5.808035e+001	
2.220000e-005	4.261086e+000	2.546496e-005	2.091862e+001	1.010022e+000	4.261086e+000	2.550889e-005	4.874765e+001	2.021022e+000	-4.268327e+000	-2.541660e-005	-7.398448e+001	3.019022e+000	-4.268327e+000	-2.538619e-005	-7.431717e+001	4.010022e+000	4.256894e+000	2.547172e-005	6.627615e+001	
2.442000e-005	4.702335e+000	2.556634e-005	2.912800e+001	1.010024e+000	4.703383e+000	2.560351e-005	5.697007e+001	2.021024e+000	-4.713768e+000	-2.550446e-005	-8.217613e+001	3.019024e+000	-4.714816e+000	-2.550446e-005	-8.250393e+001	4.010024e+000	4.704431e+000	2.557309e-005	7.448770e+001	
2.664000e-005	5.146728e+000	2.565082e-005	3.736729e+001	1.010027e+000	5.146728e+000	2.565758e-005	6.521642e+001	2.021027e+000	-5.159210e+000	-2.553150e-005	-9.038626e+001	3.019027e+000	-5.152921e+000	-2.555177e-005	-9.071732e+001	4.010027e+000	5.146728e+000	2.563392e-005	8.272535e+001	
2.886000e-005	5.591121e+000	2.567785e-005	4.562451e+001	1.010029e+000	5.591121e+000	2.571840e-005	7.348125e+001	2.021029e+000	-5.599410e+000	-2.558219e-005	-9.860889e+001	3.019029e+000	-5.600458e+000	-2.557543e-005	-9.894213e+001	4.010029e+000	5.591121e+000	2.569475e-005	9.098257e+001	
3.108000e-005	6.036562e+000	2.582992e-005	5.391054e+001	1.010031e+000	6.037610e+000	2.581302e-005	8.177109e+001	2.021031e+000	-6.053236e+000	-2.573763e-005	-1.068647e+002	3.019031e+000	-6.055332e+000	-2.569032e-005	-1.071892e+002	4.010031e+000	6.035514e+000	2.583668e-005	9.927241e+001	
3.330000e-005	6.479907e+000	2.612729e-005	6.226887e+001	1.010033e+000	6.479907e+000	2.604957e-005	9.011420e+001	2.021033e+000	-6.490293e+000	-2.713665e-005	-1.153706e+002	3.019033e+000	-6.489245e+000	-2.702851e-005	-1.156701e+002	4.010033e+000	6.478859e+000	2.602929e-005	1.076161e+002	
3.552000e-005	6.918012e+000	2.718162e-005	7.084465e+001	1.010036e+000	6.920108e+000	2.630977e-005	9.853723e+001	2.021036e+000	-6.927349e+000	-3.155672e-005	-1.248125e+002	3.019036e+000	-6.927349e+000	-3.124245e-005	-1.250441e+002	4.010036e+000	6.920108e+000	2.620164e-005	1.160184e+002	
3.774000e-005	7.364501e+000	3.356167e-005	8.061640e+001	1.010038e+000	7.363453e+000	2.746886e-005	1.071886e+002	2.021038e+000	-7.370694e+000	-4.231292e-005	-1.366959e+002	3.019038e+000	-7.370694e+000	-4.188037e-005	-1.368073e+002	4.010038e+000	7.362405e+000	2.700590e-005	1.245779e+002	
3.996000e-005	7.810990e+000	4.994096e-005	9.404943e+001	1.010040e+000	7.807846e+000	3.485255e-005	1.172142e+002	2.021040e+000	-7.820328e+000	-5.294408e-005	-1.520199e+002	3.019040e+000	-7.818232e+000	-5.269401e-005	-1.520215e+002	4.010040e+000	7.807846e+000	3.210859e-005	1.340876e+002	
4.218000e-005	8.252239e+000	6.055522e-005	1.118249e+002	1.010042e+000	8.252239e+000	4.867373e-005	1.306510e+002	2.021042e+000	-8.259480e+000	-5.770208e-005	-1.698195e+002	3.019042e+000	-8.260528e+000	-5.770208e-005	-1.697809e+002	4.010042e+000	8.250143e+000	4.427393e-005	1.463753e+002	
4.440000e-005	8.695584e+000	6.298153e-005	1.316982e+002	1.010044e+000	8.697681e+000	5.676707e-005	1.476132e+002	2.021044e+000	-8.703873e+000	-5.792849e-005	-1.884209e+002	3.019044e+000	-8.701777e+000	-5.807042e-005	-1.884051e+002	4.010044e+000	8.696632e+000	5.456041e-005	1.622747e+002	
